# tick 12000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
15243	8656	15189	-0.1054	3735	11816
770	487	512	-0.2315	11979	11795
4294983757	5125	4294984153	-0.1468	202	11798
12884902660	475	477	-0.1252	11892	11921
4294968104	4294967865	4294967909	0.0428	11613	11959
4294968238	475	480	-0.2169	11938	11943
15943	2755	14714	-0.1895	3517	11784
8589945366	12604	4294982997	-0.0463	1158	10842
10797	4489	10730	-0.0237	5228	11951
4294967901	505	512	-0.0540	11923	11981
10798	6343	10730	0.2547	5228	11861
10799	1921	10194	-0.2591	5228	11997
14199	9796	13976	0.1674	4076	11999
10800	3659	10598	0.2170	5228	11978
947	477	487	-0.1459	11958	11842
12884902784	4294967865	4294968165	-0.2070	11690	11987
4294978847	2623	8589948125	-0.2282	328	11672
4294968015	477	4294967865	-0.2067	11694	11763
14198	8776	13818	-0.2097	4076	11803
8589935303	500	505	-0.1776	11908	11704
4294968108	477	503	-0.1187	11848	11809
565	480	487	-0.0136	11997	11779
11831	7922	11594	-0.0974	4868	11697
866	479	503	-0.1180	11969	11836
11092	1764	10598	0.2437	5122	11992
8589935430	4294967997	4294968165	-0.1885	11856	11966
4294968040	477	512	0.3128	11895	11936
10801	9154	10730	0.3341	5228	11955
14196	477	13818	-0.1832	4077	11770
837	491	503	-0.0923	11972	11644
4294968239	479	512	-0.0448	11952	11992
902	475	479	-0.1398	11964	11526
4294979030	12751	4294983376	-0.2450	10	11990
14195	503	13687	-0.2264	4077	11978
749	487	503	-0.2462	11981	11960
850	500	512	-0.0629	11971	11813
655	479	487	0.1219	11990	11961
805	477	479	-0.2816	11975	11945
14393	479	14277	-0.1403	4008	11866
10541	2623	10460	-0.0957	5324	11852
722	480	491	-0.2015	11984	11716
8589935198	491	4294967865	-0.0765	11695	11942
795	477	505	-0.2459	11977	11863
10166	491	9531	-0.0872	5462	11954
4294967786	479	501	-0.0000	11953	47
8589935434	512	4294967909	-0.2091	11617	11818
4294967990	500	4294967997	-0.1581	11899	11906
956	477	500	-0.0500	11957	11975
592	475	512	-0.0924	11996	11724
4294967969	475	4294967865	-0.0487	11698	11605
4294968269	500	4294967909	-0.1145	11618	11628
4294968142	503	4294968165	-0.1585	11935	11855
596	479	491	-0.0445	11995	11935
682	487	500	0.2363	11988	11975
4294968226	487	4294968165	-0.1848	11895	11879
12884902559	480	4294967997	0.1521	11885	11858
4294967881	475	503	0.0013	11948	11990
11823	1980	10054	-0.1823	4872	11983
4294967959	491	505	-0.0640	11863	11878
939	503	512	-0.2280	11960	11929
14194	12751	4294967982	-0.0597	4078	11585
871	479	505	0.1000	11968	11782
4294967972	480	4294968165	0.0598	11864	11974
851	479	500	-0.2693	11970	11939
4294968115	491	4294968165	0.4198	11938	11906
4294984052	8589935490	47244654573	-0.0732	550	11450
4294968055	500	503	-0.3054	11949	12000
4294968060	491	512	0.0030	11926	11924
4294967772	505	4294968165	0.0491	11903	11898
12884902740	4294967909	4294967997	-0.0500	11620	11826
14392	512	13818	-0.0373	4008	11994
8589952195	4763	47244654573	-0.3325	550	11450
4294967806	477	491	0.1465	11942	11829
4294968181	512	4294968165	-0.0456	11939	11781
8589935088	480	512	-0.3083	11927	12000
4294968120	480	500	-0.0619	11938	11852
15242	9923	14865	-0.1784	3735	11922
797	480	503	-0.0260	11976	11834
8589935176	479	480	-0.0558	11934	11203
739	480	505	-0.2929	11983	11968
13120	1980	12892	-0.4311	4431	11940
4294967970	475	500	-0.1756	11925	11913
11824	1667	11152	-0.1518	4871	11814
4294967790	477	4294967997	-0.0259	11889	11788
4294967866	475	491	-0.1020	11944	11836
4294967797	475	505	-0.1049	11952	11880
14193	9923	13687	-0.2714	4078	11899
17293	2501	15189	-0.1882	3024	12000
11230	2623	11011	-0.1973	5068	11983
11229	5719	10194	-0.1036	5069	11864
14192	13060	4294967997	0.1097	4078	11625
11228	5125	11152	0.0101	5070	11018
11227	1617	10730	-0.0716	5070	11508
11226	1193	10194	-0.1014	5070	11657
11825	491	11152	0.2477	4870	12000
13702	2441	12892	-0.1872	4244	11665
11826	2441	11594	-0.2028	4870	11870
11832	4594	11011	-0.1924	4867	11748
11871	10054	11439	0.0732	4855	11890
13294	11439	13209	-0.0264	4377	10886
8589935295	505	4294967909	-0.1114	11624	11815
17179886370	7012	4294983376	-0.1031	96	11904
12166	1921	11152	-0.1684	4747	11915
12165	11884	12157	-0.1010	4748	11638
12610	7346	12288	-0.1867	4599	11988
14191	12445	13976	0.0799	4079	11870
12163	6028	11884	-0.0553	4748	11318
12162	5305	12157	-0.1393	4748	11743
10804	1866	10460	-0.1830	5227	11611
8589935473	477	4294967909	0.0495	11628	11989
8589949361	479	4294983082	-0.0148	1302	10698
8589935552	503	4294967909	-0.1774	11638	11905
8589935325	475	4294967909	-0.5693	11640	11994
8589935347	487	4294967909	0.0345	11642	11965
8589935421	491	4294967909	0.1149	11644	11969
14390	7558	13060	-0.0292	4008	11566
8589935142	479	4294967909	0.0023	11647	11191
4294968240	480	4294967909	0.0989	11648	11922
8589935414	503	4294967865	-0.1541	11660	11931
12160	11011	8589935490	-0.0786	4749	11563
8589935166	500	4294967865	-0.1259	11660	11808
8589935138	505	4294967865	-0.0148	11663	11891
12884902859	475	17179869874	-0.2607	11599	11932
15240	13541	15189	-0.3113	3735	11912
17179870094	503	17179869874	-0.1233	11598	11837
14190	479	13818	-0.1844	4079	11872
8589935146	4294967909	4294968165	-0.2792	11596	11886
12159	8045	11884	-0.0044	4749	11900
8589935392	477	17179869874	-0.0874	11593	11771
13421	6564	13209	-0.0128	4335	11432
12884902676	491	17179869874	-0.0680	11591	11970
8589935189	479	17179869874	-0.0809	11590	11839
12884902799	505	17179869874	-0.1159	11580	11761
8589935345	4294967909	17179869874	-0.1001	11579	11913
12884902372	4294968165	17179869874	-0.1681	11572	11903
11224	8656	11152	-0.1414	5070	11862
12884902823	500	17179869874	-0.0916	11566	11976
8589935369	487	4294967865	-0.1393	11563	11941
12158	12157	4294967841	-0.1072	4749	11514
4294968156	487	17179869874	-0.1661	11555	11962
12884902531	512	17179869874	-0.0917	11553	11884
15239	6658	15189	0.0016	3736	11743
4294979286	12157	8589949495	-0.0290	619	11381
10540	9154	10460	0.0308	5325	11790
11869	10598	4294967865	-0.0137	4855	11900
10805	1980	9923	-0.2247	5227	11985
12884902411	480	17179869874	0.0082	11539	11757
12950	10460	12892	-0.1573	4482	11939
10539	2825	10314	-0.2197	5325	11892
12884902687	4294967865	17179869874	-0.0514	11533	11770
8589935243	4294967997	17179869874	0.0805	11533	11956
10164	475	9531	0.0276	5463	11725
15871	491	15189	-0.0260	3537	11895
10538	8277	10194	-0.1460	5326	11849
15870	8161	14714	0.0558	3537	11984
15875	11011	14714	-0.0823	3536	11908
10537	6343	10054	-0.2118	5326	11953
8589952263	3967	8589952091	-0.2588	594	11406
13119	12445	4294967909	-0.0566	4432	11863
15878	1921	13818	-0.1983	3535	11862
12970	8776	12892	0.1166	4477	11929
4294967875	500	4294967895	-0.2990	11499	11940
15237	479	15189	-0.0784	3737	11785
4294968063	475	4294967895	-0.0648	11497	11918
4294968121	4294967865	4294967895	0.0731	11495	11892
4294968187	512	4294967895	-0.0987	11495	11775
8589935487	4294967895	17179869874	-0.0321	11493	11430
4294967814	480	4294967895	-0.1970	11492	11800
8589935441	4294967895	4294967909	-0.0722	11489	11867
11222	4763	11152	-0.0069	5072	11227
8589935216	479	4294967895	0.0471	11488	11694
8589935518	477	4294967895	-0.1282	11487	11997
4294968027	491	4294967895	-0.0397	11485	11429
8589935141	505	4294967895	-0.1311	11483	11998
4294967851	503	4294967895	-0.2880	11480	11916
11868	7454	11594	-0.2001	4856	11997
10947	5125	10730	-0.2277	5175	11960
8589935081	4294967895	4294968165	-0.1132	11460	11937
10163	491	9923	-0.0961	5463	11920
8589935308	4294967895	4294967997	-0.1952	11452	11755
