tick	kind	agent_a	agent_b	value
74	venture_failure	505	507	-0.233877
74	venture_failure	507	513	-0.056998
74	venture_success	508	515	0.394719
74	venture_failure	509	510	0.045194
75	venture_failure	515	511	0.133610
75	venture_failure	4294967862	513	0.346710
75	venture_failure	513	509	-0.285369
75	venture_failure	508	506	0.164661
75	venture_failure	509	507	-0.460490
75	venture_success	510	513	0.526377
76	venture_failure	515	4294967862	-0.197822
76	venture_failure	506	515	0.008433
76	venture_success	510	511	0.196231
76	venture_failure	511	505	-0.281195
77	venture_failure	502	4294967862	-0.195500
77	venture_success	4294967862	506	0.050798
77	venture_failure	505	507	-0.332476
77	venture_failure	506	4294967862	-0.049202
77	venture_failure	507	506	-0.051951
77	venture_failure	508	509	-0.047812
77	venture_success	509	510	0.194924
77	venture_failure	510	507	0.829030
78	venture_failure	4294967862	512	-0.146895
78	venture_failure	513	512	-0.185886
78	venture_failure	506	510	0.132396
79	venture_success	507	510	0.975717
79	venture_success	508	513	0.438861
79	venture_failure	512	510	-0.295524
80	venture_success	513	505	0.675976
80	venture_failure	505	512	0.087401
80	venture_failure	508	506	0.063021
80	venture_success	509	513	-0.132526
80	venture_failure	511	512	-0.467129
81	venture_failure	4294967862	507	0.151725
81	venture_success	508	515	0.539226
81	venture_failure	510	511	0.094276
81	venture_success	511	513	0.282917
82	venture_failure	515	4294967862	-0.295460
82	venture_success	502	515	0.272894
82	venture_failure	513	508	0.336233
82	venture_success	506	502	-0.076290
82	venture_success	507	506	0.098567
82	venture_failure	508	515	0.438148
82	venture_failure	509	508	-0.147336
83	venture_failure	502	512	0.144268
83	venture_success	509	510	0.342596
83	venture_success	512	515	0.529042
84	venture_failure	502	515	0.171803
84	venture_failure	505	512	-0.013296
84	venture_failure	506	505	-0.284431
84	venture_failure	510	512	-0.392580
84	venture_failure	511	512	-0.563403
85	venture_failure	513	4294967862	0.239838
85	venture_failure	505	512	-0.113269
85	venture_success	509	510	0.491227
85	venture_success	510	513	0.665944
86	venture_failure	4294967862	513	0.139358
86	venture_success	506	4294967862	0.101676
86	venture_success	507	510	1.000000
86	venture_failure	512	513	-0.282932
87	venture_success	502	508	-0.031509
87	venture_success	4294967862	515	-0.142517
87	venture_success	513	505	0.816569
87	venture_failure	507	512	-0.275686
87	venture_success	509	510	0.639264
87	venture_success	510	515	0.020225
87	venture_failure	512	509	-0.327777
88	venture_failure	512	515	0.423773
89	venture_failure	515	4294967862	-0.241948
89	venture_success	502	513	0.475223
89	relationship_created	511	4294967862	-0.100000
89	venture_failure	4294967862	511	-0.100000
89	venture_success	509	510	0.786710
89	venture_failure	511	502	-0.747423
89	venture_failure	512	505	-0.212366
90	venture_failure	507	510	0.892024
90	venture_success	508	512	0.098929
90	venture_success	509	510	0.935136
91	venture_failure	515	512	0.321235
91	venture_success	502	512	0.291976
91	venture_success	505	510	-0.076283
91	venture_failure	506	510	0.028994
91	venture_failure	507	502	-0.375425
91	venture_success	508	510	0.032497
91	venture_failure	511	515	0.029398
91	venture_success	512	506	0.414470
92	venture_success	515	508	0.579463
92	venture_success	4294967862	513	0.287694
92	venture_success	505	513	0.958436
92	venture_failure	506	513	-0.289291
92	venture_success	508	515	0.729463
92	venture_failure	510	506	-0.071064
93	venture_failure	505	513	0.856519
93	venture_failure	508	511	-0.440874
94	venture_success	515	502	0.318398
94	venture_success	502	513	0.620490
94	venture_failure	513	508	0.228252
94	venture_failure	505	513	0.754806
94	venture_success	507	510	1.000000
