# tick 6000
[agents]
entity	resources	trust_baseline	age	venture_chance	traits	coop_quality	group_key
4666	1404	4593	-0.1281	1264	5997
17179869875	508	8589935433	-0.1294	5724	5903
6603	1098	6019	0.7944	231	5917
6602	1631	6546	0.6398	232	5950
12884902578	522	8589935433	-0.1812	5737	5822
12884902604	495	17179870015	-0.0398	5647	5855
8589935290	522	17179870015	-0.2353	5648	5965
4665	1059	4593	0.6402	1264	5860
6601	6546	12884902720	0.6592	232	5888
731	488	522	-0.2346	5992	5966
4294967830	492	508	-0.0870	5923	5589
8589935452	488	508	-0.1654	5944	5803
4294967810	488	8589935425	-0.0000	5926	74
6600	4318	6134	0.5501	233	5821
8589935255	495	522	-0.2813	5944	5942
8589935312	488	8589935433	0.0346	5744	5929
4294968169	488	495	-0.0809	5978	5663
17179869920	492	8589935433	0.0135	5745	5651
4664	492	4593	0.8957	1265	5945
4294968200	488	492	-0.2782	5941	5967
8589935476	492	499	-0.0000	5933	67
4294967792	508	522	0.0698	5953	5372
6599	3896	6346	0.5304	233	5921
4294967841	486	495	-0.0000	5965	35
6598	6346	4294968449	0.3202	233	5968
17179869750	495	508	-0.0449	5871	5981
4663	4403	12884902481	-0.0213	1269	5766
4294967795	492	522	-0.0519	5932	5642
8589935103	8589935433	17179870015	-0.0387	5635	5663
4662	2977	4318	0.0922	1270	5810
21474836996	488	8589935124	-0.2457	5599	5895
21474837126	495	8589935124	0.2831	5598	5980
6597	1128	6546	-0.0021	234	5766
4661	3896	4593	0.0067	1271	5978
12884902683	522	8589935124	-0.1724	5592	5608
21474837015	492	8589935124	-0.0860	5587	5466
17179869783	8589935124	8589935433	-0.0092	5575	5509
25769804580	8589935124	17179870015	-0.2434	5573	5673
21474836973	508	8589935124	-0.2302	5554	5908
12884902401	8589935124	8589935466	-0.0261	5474	5979
17179869784	492	8589935466	-0.0795	5482	5939
12884902473	495	8589935466	-0.0492	5485	5047
4660	1631	4593	0.4172	1271	5983
21474837209	508	8589935466	0.8120	5486	5968
12884902567	522	8589935466	-0.1589	5496	5710
17179870079	488	8589935466	-0.0819	5489	5869
21474837247	8589935433	8589935466	-0.0367	5497	5969
4659	4593	12884902755	0.1028	1271	5967
12884902664	17179869998	17179870015	-0.0734	5449	5611
12884902552	8589935124	17179869998	-0.1208	5447	5731
12884902594	8589935466	17179869998	0.2733	5447	5884
30064771582	8589935433	17179869998	-0.1884	5446	5781
12884902687	508	17179869998	0.0087	5446	5204
17179869950	488	17179869998	-0.0730	5445	5749
12884902677	492	17179869998	-0.0238	5442	5888
25769804479	522	17179869998	-0.1971	5440	5768
17179869665	8589935466	17179870015	-0.1351	5414	6000
6596	4677	6546	0.4243	234	5819
8589935431	495	17179869998	-0.1592	5408	5810
12884902686	495	4294967898	-0.0969	5397	5730
8589935115	4294967898	17179870015	-0.1303	5397	5959
8589935430	4294967898	8589935124	0.1274	5395	5990
12884902439	488	4294967898	-0.0903	5394	5825
6595	2977	6546	0.6652	234	5948
17179869965	508	4294967898	-0.1064	5393	5614
6594	1581	6238	0.3961	234	5950
12884902788	4294967898	17179869998	0.0113	5392	5444
4658	3820	4227	0.2791	1272	5876
8589935339	492	4294967898	-0.2204	5378	5929
8589935162	4294967898	8589935466	-0.0654	5371	5559
17179869795	4294967898	8589935433	0.1571	5368	5979
8589935481	522	4294967898	0.1107	5348	5954
4112	2769	3982	0.1915	1627	5901
4111	4065	8589935168	-0.1527	1627	5866
4110	2635	3982	0.6265	1629	5977
4109	2514	3982	-0.0479	1630	5525
4108	4065	12884902755	-0.0490	1630	5937
4107	2514	4065	-0.0375	1631	5707
4106	495	3982	-0.1896	1631	5957
4105	3820	4294967886	0.1348	1631	5827
4104	522	3982	0.0019	1631	5766
4103	2037	3820	-0.1618	1632	5822
4102	1537	4065	0.0726	1633	5729
4101	1277	3982	0.0252	1633	5946
4100	1028	4065	0.1040	1633	5789
8589935407	508	12884902526	0.0044	5199	5649
17179869738	495	12884902526	-0.3278	5199	5889
12884902678	4294967898	12884902755	-0.2958	5206	5865
4657	2391	4593	0.1701	1272	5739
17179869770	495	12884902755	0.0668	5223	5868
8589935434	492	12884902755	-0.0845	5229	5893
4294968209	8589935466	12884902755	-0.1254	5235	5792
12884902582	8589935124	12884902755	-0.0853	5236	5368
4099	2210	4065	0.0166	1634	5932
12884902548	508	12884902755	-0.1010	5242	5614
4294968108	488	12884902755	0.1513	5242	5976
4294968181	522	12884902755	0.0595	5249	5682
8589935122	12884902755	17179869998	0.0223	5248	5935
8589935198	12884902526	17179869998	0.1410	5198	5972
8589935076	12884902526	17179870015	-0.0649	5197	5363
12884902768	8589935466	12884902526	-0.1632	5195	5859
12884902598	522	12884902526	-0.3300	5193	5919
21474837081	8589935124	12884902526	-0.2423	5191	5900
21474837235	488	12884902526	-0.0500	5191	5967
8589935109	12884902526	12884902755	0.2211	5190	5792
17179869936	8589935433	12884902755	0.2663	5189	5989
12884902679	492	12884902526	-0.1925	5188	5673
21474837101	4294967898	12884902526	-0.2224	5184	5711
4098	4065	8589935293	-0.1006	1635	5983
21474837119	8589935433	12884902526	-0.0869	5173	5434
6593	1404	6346	-0.0094	234	5825
4656	2457	4593	0.0850	1273	5976
6592	6238	4294968449	0.9900	234	5995
8589935500	8589935124	17179869838	-0.1377	5149	5889
4097	1990	4065	0.0480	1636	5818
12884902449	495	17179869838	-0.0745	5147	5734
8589935338	8589935433	17179869838	-0.0065	5146	5905
17179869843	522	17179869838	-0.3241	5144	5954
12884902707	8589935466	17179869838	0.1765	5144	5866
8589935445	492	17179869838	-0.0592	5142	5948
8589935245	17179869838	17179869998	0.0453	5139	5970
8589935455	12884902755	17179870015	0.3014	5138	5875
6591	6546	8589935466	0.6260	234	5766
4294967937	17179869838	17179870015	0.0888	5133	5857
4655	1537	4483	0.0516	1273	5482
8589935121	4294967898	17179869838	0.0895	5129	5776
4294968194	508	17179869838	-0.0779	5128	5932
8589935462	12884902526	17179869838	-0.0123	5127	5935
4294968183	488	17179869838	-0.1189	5110	5737
12884902629	8589935199	17179870015	-0.0248	5098	5948
12884902530	488	8589935199	0.0031	5098	5608
8589935161	8589935124	8589935199	-0.0069	5097	5652
8589935306	8589935199	12884902526	-0.2235	5094	5970
