# tick 8000
[agents]
entity	resources	trust_baseline	age	venture_chance
745	493	700	-0.0642	7605	7820
746	491	700	-0.1813	7603	7859
748	700	747	0.0029	7599	7991
749	747	8589935100	-0.1650	7596	7618
750	475	747	-0.1727	7596	7925
751	494	747	-0.1949	7595	7829
752	480	747	-0.2789	7591	7990
753	700	723	0.9704	7589	7985
754	484	747	-0.2522	7588	7892
755	488	747	0.0817	7587	7654
756	478	723	-0.2489	7585	7860
757	490	747	-0.0659	7581	7807
758	491	747	-0.1740	7579	7859
759	747	4294967861	-0.1666	7579	7718
760	477	747	0.0954	7578	7961
761	660	747	0.1706	7576	7997
762	493	747	-0.0483	7564	7782
763	479	747	-0.1711	7561	7847
764	488	723	-0.0047	7552	7885
765	489	747	-0.1499	7551	7623
767	476	766	0.1717	7549	7954
768	723	766	-0.0822	7545	7481
769	489	766	0.1131	7544	7899
770	487	766	-0.1090	7541	7611
771	700	766	-0.0758	7540	7484
772	747	4294967884	-0.1147	7539	7894
773	478	766	-0.1989	7539	7741
774	492	747	-0.1671	7535	7737
775	766	4294967884	-0.2683	7534	7876
776	477	766	-0.1145	7531	7760
777	475	766	-0.2842	7530	7941
778	490	766	-0.0043	7527	7757
779	487	747	-0.0682	7526	7587
780	479	766	-0.1746	7525	7897
781	766	4294967861	-0.2642	7524	7981
782	747	766	0.0553	7524	7820
783	492	766	0.0734	7522	7933
784	491	766	0.1355	7521	7910
785	478	747	-0.0277	7519	7949
786	483	766	-0.0482	7517	7996
787	723	747	-0.0907	7517	7275
788	486	747	-0.0310	7517	7977
789	484	723	-0.2948	7513	7883
790	766	8589935100	-0.3167	7500	7990
835	766	791	0.0000	7423	577
834	478	818	-0.2395	7425	7844
794	483	747	0.1429	7497	7963
795	480	766	-0.0777	7496	7749
833	747	818	-0.1074	7431	7690
797	484	766	-0.1129	7496	7707
798	494	766	-0.2556	7495	7923
832	477	818	0.0707	7433	7902
831	489	818	-0.1968	7436	7729
830	723	818	0.1386	7437	7994
829	488	818	-0.2618	7440	7917
828	476	818	0.4576	7440	7982
804	486	766	0.2051	7488	7973
827	480	818	0.0677	7441	7981
821	492	818	0.2434	7447	7962
807	493	766	-0.1197	7482	7838
825	475	818	-0.3161	7442	7944
820	818	4294967884	-0.1182	7447	7880
810	476	747	0.0084	7480	7950
811	488	766	-0.2177	7478	7893
823	766	818	-0.0038	7443	7778
813	660	766	-0.0893	7472	7446
819	486	818	0.0927	7449	7777
4294968087	491	818	-0.1180	7420	7756
4294968122	660	818	-0.2142	7419	7779
4294968120	818	8589935100	0.9436	7418	7971
4294968118	818	4294967861	-0.2588	7414	7823
4294968113	493	818	-0.0698	7413	7918
4294968112	487	818	-0.1037	7404	7681
4294968110	484	818	-0.2938	7398	7832
4294968108	484	4294968111	0.0561	7398	7941
4294968105	475	4294968111	-0.0083	7397	6161
4294968104	660	4294968111	-0.0438	7396	7693
4294968102	494	4294968111	-0.2927	7395	7946
4294968101	723	4294968111	-0.0240	7395	7531
4294968099	486	4294968111	-0.1402	7394	7879
4294968098	491	4294968111	-0.0130	7393	7892
4294968097	747	4294968111	-0.0911	7393	7482
4294968096	487	4294968111	-0.1164	7392	7556
4294968095	480	4294968111	-0.2242	7392	7878
4294968092	4294967884	4294968111	-0.1455	7390	7956
4294968089	489	4294968111	-0.2049	7389	7996
4294968088	766	4294968111	-0.1554	7387	7880
836	477	4294968111	-0.3098	7385	7969
837	700	4294968111	0.1225	7384	7921
838	818	4294968111	-0.2142	7377	7981
839	476	4294968111	-0.1372	7375	7449
840	483	818	0.0183	7371	7900
841	488	4294968111	-0.1621	7369	7868
842	493	4294968111	0.0986	7368	7801
843	479	4294968111	-0.1201	7367	7802
844	490	4294968111	-0.1632	7366	7983
845	700	818	0.4394	7365	7937
846	4294967861	4294968111	-0.0362	7356	7973
847	490	818	-0.1745	7353	7577
848	483	4294968111	-0.0780	7353	7598
993	479	955	-0.0212	7096	7810
992	490	955	-0.1835	7097	7978
963	873	897	-0.1109	7138	7667
990	926	989	-0.0406	7099	7378
988	897	955	-0.1297	7101	7971
987	700	926	0.2517	7101	7863
986	766	955	-0.2035	7106	7867
857	492	4294968111	-0.1802	7340	7955
985	492	926	0.1988	7106	7941
984	493	897	-0.4937	7108	7990
983	955	8589935100	-0.2066	7108	7782
982	955	4294967884	-0.1489	7112	7976
981	479	926	-0.1669	7113	7872
980	480	955	-0.0008	7114	7698
979	660	955	0.0073	7115	7834
978	926	4294967884	0.0186	7118	7794
977	477	926	-0.1937	7119	7916
976	487	955	-0.2551	7120	7888
975	723	955	-0.0453	7125	7690
869	4294968111	8589935100	0.0007	7313	7349
974	747	926	0.0072	7125	7894
973	818	955	-0.1893	7125	7834
972	873	955	0.0828	7126	7947
