# tick 12000
[agents]
entity	resources	trust_baseline	age	venture_chance
709	484	4294967803	0.0443	11737	11985
710	479	4294967803	0.0495	11734	11916
711	491	4294967803	-0.2139	11734	11982
712	488	4294967803	-0.0971	11733	11861
713	492	4294967803	0.0315	11733	11895
714	475	4294967803	-0.2307	11732	11975
715	491	4294967924	0.4013	11731	11944
716	479	4294967924	-0.2618	11731	11906
717	477	4294967803	-0.1245	11730	11911
718	490	4294967803	-0.0759	11729	11657
719	480	4294967803	-0.3219	11728	11989
720	478	4294967803	-0.0670	11723	11983
721	486	4294967803	-0.0061	11721	11969
722	4294967803	4294967969	0.0982	11714	11957
723	476	4294967803	-0.0496	11713	11098
724	664	4294967803	-0.0968	11710	11613
733	493	4294967803	-0.0009	11679	11994
4294968057	664	4294968036	-0.0450	11548	11999
4294968058	4294967969	4294968036	0.0585	11548	11938
8589935317	491	4294968036	-0.1019	11545	11804
4294968054	477	4294968036	-0.1037	11544	11786
4294968050	483	4294968036	-0.4050	11544	11980
4294968056	4294967924	4294968036	-0.1716	11543	11970
4294968046	479	4294968036	0.4095	11542	11958
4294968040	475	4294968036	0.0073	11541	11237
4294968048	4294967803	4294968036	0.1276	11539	11803
4294968038	488	4294968036	-0.0671	11536	11898
4294968059	486	4294968036	-0.2677	11534	11815
4294968035	487	4294968036	-0.0375	11534	11823
4294968034	476	4294968036	-0.1350	11533	11978
4294974780	485	7407	-0.1816	407	11961
4294968032	485	4294968036	0.2472	11525	11892
4294968031	484	4294968036	-0.1389	11522	11677
4294968030	490	4294968036	-0.0636	11520	11757
8589935318	480	4294968036	-0.1563	11513	11867
7819	7734	8589939360	-0.2223	413	11914
787	478	4294968036	-0.0098	11417	11878
4294974689	840	17179874100	-0.1093	1486	11908
12884905932	485	8589936166	-0.1378	1277	11849
4294970126	4294974231	8589935842	-0.1287	18	11982
4294968055	493	4294968036	-0.1177	11493	11921
17179872696	8589935699	8589935842	0.0076	1703	11796
4294968052	478	4294967924	-0.0873	11492	11978
4294968051	492	4294968036	-0.1541	11491	11838
12884903948	4294974231	8589939360	0.1151	6	11994
25769805238	7372	4294968200	0.1821	1704	11680
4294974424	478	12884906909	-0.0536	1427	11836
6928	475	6820	-0.0717	2653	11387
8589941524	8589935699	12884905209	-0.1489	7	11993
4294974970	7407	8589940965	-0.0010	408	11995
12884903770	1771	8589940038	0.4907	8	11992
4294972623	4294969590	4294973627	-0.1465	1707	11568
12884903133	477	7176	-0.0563	1707	11800
4294973533	475	7372	-0.3549	1707	11944
8589936126	7734	8589935677	0.1108	193	11976
4294972789	8589935842	8589937836	0.8623	1709	11926
17179870503	6934	17179873444	0.1048	672	11971
4294972840	987	7372	0.1614	1711	11817
4294968072	493	4294967924	-0.1081	11405	11709
17179874182	8589936166	17179874973	0.3080	9	11991
4294974101	12884906303	12884906441	-0.3445	73	11927
4294968061	4294967924	4294968065	-0.0693	11399	11874
4294968060	491	4294968065	0.0011	11398	11983
8589935333	476	4294968065	-0.0501	11398	11839
8589935335	4294968036	4294968065	-0.2195	11397	11788
8589935337	486	4294968065	-0.1450	11396	11931
8589935338	483	4294968065	-0.1692	11392	11719
8589935339	477	4294968065	0.2605	11391	11999
4294973180	5175	4294973627	-0.1443	1713	11977
8589935343	479	4294968065	-0.2660	11386	11837
8589935345	664	4294968065	0.1724	11386	11942
7817	7734	8589941248	-0.0487	414	11997
12884902620	480	4294968065	0.3597	11384	11913
8589940084	4294969590	17179874100	-0.2022	1427	11714
12884902618	478	4294968065	-0.0917	11383	11674
12884902617	4294967969	4294968065	-0.2658	11373	11830
12884902616	475	4294968065	-0.0929	11369	11800
4294973077	492	7734	0.3828	408	11998
12884905925	4294973593	17179873664	0.1340	1278	11768
791	484	4294968065	-0.1563	11358	11959
792	490	4294968065	-0.1658	11356	11643
793	487	4294968065	0.0546	11356	11889
794	4294967803	4294968065	-0.0955	11352	11985
796	488	4294968065	-0.1951	11349	11967
797	477	795	-0.1646	11349	11949
7816	7734	17179873664	-0.0547	414	11955
8589938739	8589936166	17179873444	-0.1374	304	11991
800	480	795	-0.0885	11347	11737
801	485	795	-0.0713	11346	11883
802	485	4294968065	-0.1049	11345	11947
803	479	795	-0.0387	11344	11786
804	483	795	-0.1987	11342	11815
805	795	4294968036	0.1743	11341	11944
806	486	795	-0.0524	11340	11841
807	487	795	-0.1880	11338	11945
808	664	795	-0.0084	11337	11642
809	795	4294967803	-0.0294	11336	11881
810	475	795	-0.2862	11333	11929
811	492	795	-0.1984	11331	11994
812	493	4294968065	0.0009	11327	11345
813	476	795	-0.0145	11321	10853
814	795	4294967969	-0.3450	11321	11969
815	490	795	0.3399	11316	11963
816	478	795	-0.2194	11310	11906
817	795	4294968065	0.2692	11308	11901
8589941532	8589940415	12884905209	0.2395	10	11990
6779	1269	4294972154	-0.2738	3021	11992
8589938181	869	4294974231	-0.1311	9	11991
8589937474	5370	8589940038	0.6036	15	11985
4602	957	4169	-0.0000	5910	6090
8589940417	477	6053	-0.1572	3469	11681
3600	1771	4294970728	-0.1365	7114	11955
826	493	795	-0.1465	11286	11520
3599	487	4294970728	0.0811	7117	11701
4294974670	4294970544	12884908438	-0.1426	392	11807
829	488	795	-0.2032	11278	11896
12884908599	485	8589940038	-0.3021	11	11989
12884904199	491	17179873664	-0.2949	1606	11995
6065	1054	4294970245	-0.1723	3744	11666
833	484	795	-0.2975	11273	11999
834	795	4294967924	0.0066	11271	11563
12884904065	4294970245	17179873444	-0.1934	743	11775
17179875649	2190	4294974231	0.1290	12	11988
12884904295	6820	17179873444	-0.2871	744	11968
4294973966	4294967803	8589941695	0.0841	1427	11482
7034	869	6934	-0.0713	2457	11383
12884907107	4294974231	8589940415	0.2380	13	11987
842	840	4294967803	-0.0979	11248	11718
843	492	840	-0.1847	11247	11892
844	840	4294967969	-0.1172	11245	11739
845	840	4294968065	0.0061	11244	11984
846	487	840	-0.1558	11244	11665
847	475	840	0.0367	11243	11977
17179872478	4294972445	4294974604	-0.1233	744	11937
4597	4453	8589935992	-0.1371	5912	11813
850	491	840	-0.1588	11241	11662
25769806661	2933	4294974231	-0.1300	13	11987
852	485	840	-0.0889	11239	11983
4294973280	4294974231	17179874973	0.5480	14	11986
12884906212	6934	4294973659	-0.0363	1024	11690
5850	795	4294972717	-0.0972	4157	11835
856	488	840	-0.1380	11229	11984
857	478	840	0.3800	11229	11975
858	664	840	-0.0846	11227	11327
859	493	840	0.0041	11226	11825
860	491	795	0.0139	11223	11711
861	479	840	-0.2377	11219	11986
6927	4294970493	4294973758	-0.0906	2655	11535
863	795	840	-0.2716	11218	11857
864	484	840	-0.1512	11217	11732
6038	484	4294970245	-0.0772	3818	11794
866	483	840	-0.0711	11205	11474
4294973953	7372	12884906909	-0.0294	1428	11764
868	486	840	-0.0361	11200	11125
870	869	4294967969	-0.1157	11198	11983
871	490	869	-0.1196	11197	11770
872	869	4294967924	-0.1650	11196	11883
873	491	869	-0.0829	11194	11945
874	476	869	-0.0853	11193	11395
875	484	869	-0.3342	11192	11965
876	487	869	0.0217	11191	11969
877	477	869	-0.2286	11191	11702
878	485	869	-0.0453	11190	11947
879	486	869	-0.0208	11190	11954
12884905269	4294968911	4294970728	-0.2056	7137	11768
12884905779	4294970544	8589941248	-0.0507	1177	11928
882	869	4294968065	-0.2655	11187	11963
883	476	840	-0.1252	11186	11707
21474840907	6934	8589941695	0.1012	1531	11990
885	840	869	-0.1447	11182	11921
886	869	4294967803	-0.1211	11181	11946
887	490	840	-0.3270	11179	11949
12884905283	1269	4294970728	-0.0241	7138	11810
889	492	4294968065	-0.0090	11177	11462
890	840	4294967924	0.0721	11170	11670
891	869	4294968036	-0.1782	11169	11788
892	840	4294968036	-0.0504	11166	11312
893	492	869	0.0781	11162	11902
17179873211	4294972445	8589936166	0.0305	1278	11834
7815	7734	12884902824	0.3181	415	11997
21474838964	4790	17179873444	0.6514	672	11949
897	795	869	-0.2195	11153	11870
4294969599	12884905209	12884906909	0.5186	15	11985
17179870902	1155	4294974604	-0.0862	744	11822
960	491	957	-0.1094	11049	11887
959	840	957	-0.3175	11049	11988
4294974500	488	17179873444	0.4948	612	11958
930	664	869	-0.2777	11102	11912
8589939315	1865	4294970493	0.0158	5026	11970
4294974271	795	8589936266	-0.0782	1110	11624
4294970133	7407	4294974231	0.3912	19	11993
12884905233	8589937836	8589939109	-0.0953	5028	11544
4294972834	4294969856	4294971145	-0.1421	4338	11942
4294972191	5175	4294969856	0.0451	5029	11860
911	483	869	0.0270	11136	11871
912	479	869	0.0600	11134	11950
8589935371	4294971145	8589936888	-0.0885	667	11545
914	488	869	-0.0289	11133	11826
4294974498	4294968911	8589936888	0.1699	613	11889
947	478	869	-0.1125	11073	11517
946	480	840	-0.2137	11076	11624
4294972836	4294969313	4294972717	-0.1498	4338	11961
919	493	869	-0.1376	11128	11615
4294970669	3445	8589939109	0.3785	5115	11948
921	480	869	0.0530	11126	11931
51539608995	8589936266	8589941695	-0.1127	1103	11900
923	475	869	-0.2414	11120	11926
4294970672	485	8589939109	-0.2395	5115	11796
17179872318	4294972154	17179873444	-0.0509	614	11900
5135	987	4294970493	0.0140	5073	11964
4294973747	490	8589939360	-0.1070	2959	11461
6027	4294970245	8589935699	-0.2815	3881	11908
7033	6820	4294972717	0.3539	2457	11834
4294968196	869	957	-0.0719	11048	11948
8589940799	4294973593	8589936981	0.8932	1279	11974
4294974494	8589939490	8589940415	-0.0737	615	11994
4294968240	493	957	-0.1802	11046	11943
